thread_datetime,datetime,fix,latitude,longitude,latitude_degrees,latitude_minutes,longitude_degrees,longitude_minutes,satellites,altitude_m,speed_knots,track_angle_deg,horizontal_dilution,height_geoid
26/06/2025 16:45:58.611161,3/7/2025 12:50:08,1,55.435185,-5.686066,55,26.1111,-5,41.164,7,5.1,0.25,345.44,1.18,53.5
26/06/2025 16:45:59.685333,3/7/2025 12:50:08,1,55.435185,-5.686066,55,26.1111,-5,41.164,7,5.1,0.12,345.44,1.18,53.5
26/06/2025 16:46:00.756963,3/7/2025 12:50:09,1,55.435186,-5.686073,55,26.1112,-5,41.1644,7,5.0,0.12,345.44,1.18,53.5
26/06/2025 16:46:01.830455,3/7/2025 12:50:09,1,55.435186,-5.686073,55,26.1112,-5,41.1644,7,5.0,0.3,345.44,1.18,53.5
26/06/2025 16:46:02.902131,3/7/2025 12:50:10,1,55.435188,-5.686076,55,26.1113,-5,41.1646,7,4.9,0.3,345.44,1.18,53.5
26/06/2025 16:46:04.030881,3/7/2025 12:50:10,1,55.435188,-5.686076,55,26.1113,-5,41.1646,7,4.9,0.35,345.44,1.18,53.5
26/06/2025 16:46:05.158349,3/7/2025 12:50:11,1,55.435193,-5.68608,55,26.1116,-5,41.1648,7,4.9,0.35,345.44,1.18,53.5
26/06/2025 16:46:06.287960,3/7/2025 12:50:11,1,55.435193,-5.68608,55,26.1116,-5,41.1648,7,4.9,0.37,345.44,1.18,53.5
26/06/2025 16:46:07.420746,3/7/2025 12:50:12,1,55.435196,-5.686085,55,26.1118,-5,41.1651,6,4.7,0.37,345.44,1.29,53.5
26/06/2025 16:46:08.555698,3/7/2025 12:50:12,1,55.435196,-5.686085,55,26.1118,-5,41.1651,6,4.7,0.35,345.44,1.29,53.5
26/06/2025 16:46:09.674905,3/7/2025 12:50:13,1,55.435198,-5.686083,55,26.1119,-5,41.165,6,4.6,0.35,345.44,1.29,53.5
26/06/2025 16:46:10.791688,3/7/2025 12:50:13,1,55.435198,-5.686083,55,26.1119,-5,41.165,6,4.6,0.34,345.44,1.29,53.5
26/06/2025 16:46:11.912781,3/7/2025 12:50:14,1,55.4352,-5.68608,55,26.112,-5,41.1648,6,4.5,0.34,345.44,1.29,53.5
26/06/2025 16:46:13.032552,3/7/2025 12:50:14,1,55.4352,-5.68608,55,26.112,-5,41.1648,6,4.5,0.55,345.44,1.29,53.5
26/06/2025 16:46:14.147704,3/7/2025 12:50:15,1,55.435198,-5.686076,55,26.1119,-5,41.1646,6,4.4,0.55,345.44,1.29,53.5
26/06/2025 16:46:15.281275,3/7/2025 12:50:15,1,55.435198,-5.686076,55,26.1119,-5,41.1646,6,4.4,0.58,149.97,1.29,53.5
26/06/2025 16:46:16.400566,3/7/2025 12:50:16,1,55.435203,-5.686081,55,26.1122,-5,41.1649,6,4.3,0.58,149.97,1.29,53.5
26/06/2025 16:46:17.518905,3/7/2025 12:50:16,1,55.435203,-5.686081,55,26.1122,-5,41.1649,6,4.3,0.33,149.97,1.29,53.5
26/06/2025 16:46:18.635458,3/7/2025 12:50:17,1,55.43521,-5.686093,55,26.1126,-5,41.1656,6,4.3,0.33,149.97,1.29,53.5
26/06/2025 16:46:19.758451,3/7/2025 12:50:17,1,55.43521,-5.686093,55,26.1126,-5,41.1656,6,4.3,1.27,295.65,1.29,53.5
26/06/2025 16:46:20.876523,3/7/2025 12:50:18,1,55.435211,-5.68609,55,26.1127,-5,41.1654,6,4.5,1.27,295.65,1.29,53.5
26/06/2025 16:46:21.996122,3/7/2025 12:50:18,1,55.435211,-5.68609,55,26.1127,-5,41.1654,6,4.5,0.33,295.65,1.29,53.5
26/06/2025 16:46:23.118306,3/7/2025 12:50:19,1,55.435208,-5.68609,55,26.1125,-5,41.1654,6,4.5,0.33,295.65,1.29,53.5
26/06/2025 16:46:24.237528,3/7/2025 12:50:19,1,55.435208,-5.68609,55,26.1125,-5,41.1654,6,4.5,0.57,295.65,1.29,53.5
